epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,355.821,1.81466,1.28936,1.46933,0.70188,0.41086,0.46809,0.19439,2.29007,1.41502,1.31325,0.000973861,0.000973861,0.000973861
44,363.434,1.85719,1.28157,1.49892,0.57005,0.40678,0.39289,0.16275,2.41669,1.55914,1.36294,0.000957358,0.000957358,0.000957358
45,371.268,1.82743,1.27301,1.46502,0.68721,0.51599,0.54334,0.20667,2.08655,1.18352,1.2433,0.000940855,0.000940855,0.000940855
46,378.88,1.80538,1.2507,1.43897,0.68409,0.58295,0.60013,0.24176,1.98651,1.09076,1.21343,0.000924352,0.000924352,0.000924352
47,386.434,1.83916,1.24465,1.45694,0.7721,0.59525,0.66156,0.26755,1.91974,1.05078,1.19761,0.000907848,0.000907848,0.000907848
48,394.193,1.81652,1.19701,1.43955,0.73076,0.52541,0.62441,0.25355,1.9509,1.14563,1.1959,0.000891345,0.000891345,0.000891345
49,401.69,1.7947,1.27622,1.49117,0.75386,0.57344,0.62179,0.254,1.96514,1.07698,1.2009,0.000874842,0.000874842,0.000874842
50,409.317,1.74786,1.19549,1.46592,0.76802,0.61227,0.65178,0.25938,1.95172,1.05044,1.2128,0.000858338,0.000858338,0.000858338
51,416.881,1.81847,1.23575,1.44277,0.73272,0.60503,0.6431,0.2631,1.95315,1.04561,1.18727,0.000841835,0.000841835,0.000841835
52,424.614,1.82279,1.27536,1.47972,0.76153,0.59803,0.63981,0.25823,1.93385,1.03002,1.18938,0.000825332,0.000825332,0.000825332
53,432.196,1.80639,1.22351,1.4105,0.76727,0.618,0.65619,0.27276,1.89923,1.00446,1.18129,0.000808828,0.000808828,0.000808828
54,439.974,1.81916,1.20778,1.44028,0.73787,0.53667,0.59205,0.2422,2.04003,1.1137,1.20769,0.000792325,0.000792325,0.000792325
55,447.513,1.80715,1.22353,1.44141,0.69428,0.46512,0.53527,0.22101,2.13546,1.22504,1.24316,0.000775822,0.000775822,0.000775822
56,455.149,1.78357,1.19069,1.44739,0.77676,0.48021,0.54999,0.22706,2.20168,1.22451,1.25049,0.000759318,0.000759318,0.000759318
57,462.913,1.77985,1.15211,1.4099,0.7902,0.57249,0.6505,0.26241,1.93893,1.03253,1.19329,0.000742815,0.000742815,0.000742815
58,470.556,1.75057,1.14631,1.43824,0.75085,0.5657,0.61255,0.24986,2.03559,1.07045,1.21077,0.000726312,0.000726312,0.000726312
59,478.109,1.76506,1.18801,1.42588,0.75221,0.50931,0.63516,0.25101,1.96857,1.14966,1.19042,0.000709809,0.000709809,0.000709809
